Time_s,Temperature1_C,Temperature2_C
667.8614128,175.1,83.4
668.4745613,175.1,83.4
669.0716926,175.1,83.2
669.6818262,175.1,83
670.2950429,175.1,82.7
670.8900203,175.1,82.4
671.4705487,175.4,82.1
672.081804,175.4,81.8
672.6602714,175.4,81.5
673.2585902,175.4,81.2
673.8546743,175.4,81
674.4674818,175.4,80.9
675.0800013,175.4,80.7
675.6594011,175.4,80.6
676.2558474,175.7,80.6
676.8669256,175.7,80.6
677.4807965,175.7,80.6
678.1060543,175.7,80.6
678.7183445,176,80.6
679.3312672,176,80.7
679.9589873,176,80.9
680.5546634,176,81
681.152872,176.3,81.2
681.7481574,176.3,81.4
682.3463683,176.6,81.5
682.9725038,176.6,81.7
683.5541822,176.9,81.8
684.1357458,176.9,82
684.7148984,176.9,82.1
685.3273024,176.9,82.4
685.921031,177.3,82.6
686.533345,177.3,82.7
687.1302948,177.3,82.9
687.7420246,177.6,83
688.3370466,177.6,83.2
688.9370839,177.9,83.4
689.5476463,177.9,83.4
690.1419158,177.9,83.2
690.7383739,178.2,83
691.3368054,178.2,82.7
691.9314298,178.5,82.3
692.5304578,178.9,82
693.1277305,179.2,81.7
693.7252696,179.2,81.2
694.3228229,179.5,80.9
694.9169446,179.5,80.6
695.5140734,179.9,80.3
696.1231755,179.9,80.1
696.7205017,180.2,79.8
697.3154345,180.5,79.6
697.9160943,180.9,79.5
698.5130438,181.2,79.3
699.1111965,181.6,79.3
699.7076682,181.9,79.2
700.3070061,182.3,79
700.9358636,182.6,79
701.5627834,183.3,79
702.1604432,183.7,78.9
702.757303,184,78.9
703.35717,184.4,78.9
703.9541456,185.1,78.9
704.582624,185.5,78.9
705.1798636,186.2,78.9
705.7759797,186.2,78.9
706.3712086,186.6,78.9
706.9696451,187.3,78.9
707.5665204,187.7,78.9
708.1595591,188.1,78.9
708.7594634,188.5,78.7
709.3583159,188.9,78.7
709.9556588,189.3,78.7
710.5527283,189.3,78.7
711.1488199,189.7,78.7
711.748209,190.1,78.7
712.3446558,190.5,78.7
712.9423534,190.9,78.5
713.5570164,191.3,78.5
714.1525628,191.7,78.5
714.7474568,192.1,78.5
715.3435931,192.1,78.4
715.9403133,192.5,78.4
716.539015,192.5,78.4
717.1355442,193.3,78.4
717.746932,193.3,78.4
718.3455611,193.3,78.4
718.9319191,193.7,78.4
719.5295904,193.7,78.2
720.1301529,193.7,78.2
720.7253291,193.7,78.2
721.3230086,193.7,78.2
721.9196038,194.2,78.2
722.5190422,193.7,78.2
723.1189756,193.7,78.1
723.7152673,193.7,78.1
724.3124887,193.7,78.1
724.9107624,193.3,78.1
725.5082615,193.3,78.1
726.1040531,193.3,78.1
726.7003104,192.9,77.9
727.295832,192.9,77.9
727.8945503,192.9,77.9
728.4942965,192.5,77.9
729.089744,192.5,77.9
729.6879148,192.5,77.9
730.2816842,192.5,77.9
730.8780813,192.1,77.9
731.4757608,192.1,77.9
732.0719785,192.1,77.9
732.7000851,192.1,77.9
733.295367,191.7,77.9
733.8941518,191.7,77.7
734.4936323,191.7,77.7
735.0902698,191.7,77.7
735.6888041,191.7,77.7
736.3170538,191.3,77.7
736.916529,191.3,77.7
737.5094648,191.3,77.7
738.1068114,190.9,77.7
738.7047782,190.9,77.9
739.2998004,190.5,77.7
739.8981615,190.5,77.7
740.5127231,190.1,77.6
741.1093954,190.1,77.7
741.7084274,189.7,77.6
742.3037319,189.7,77.6
742.9024496,189.7,77.6
743.5005065,189.3,77.4
744.092612,189.3,77.3
744.6901703,189.3,77.3
745.2880434,188.9,77.1
745.8826866,188.9,77.1
746.4802404,188.9,77.1
747.0740353,188.5,77.1
747.6718103,188.5,76.9
748.2707821,188.5,76.8
748.8670181,188.5,76.8
749.4638581,188.1,76.8
750.0746064,188.1,76.8
750.6718924,188.1,76.8
751.2832369,187.7,76.8
751.9103264,187.3,76.8
752.5395801,187,76.8
753.1491276,186.6,76.8
753.7631177,186.2,76.8
754.3576492,185.8,76.8
754.9670559,185.5,76.8
755.5791922,185.1,76.6
756.1747653,184.7,76.8
756.784223,184.4,76.8
757.3810696,184,76.8
757.9947683,183.7,76.8
758.6224896,183.3,76.8
759.216301,183,76.8
759.8116162,182.6,76.9
760.4075425,182.3,76.9
761.0221706,181.9,77.1
761.6340235,181.2,77.3
762.2280054,180.9,77.3
762.8387943,180.5,77.4
763.4373466,180.2,77.6
764.034216,179.9,77.7
764.644697,179.5,77.9
765.2389961,179.2,78.1
765.8829341,178.9,78.1
766.4778557,178.5,78.2
767.0893443,178.2,78.4
767.7017911,177.9,78.5
768.2993427,177.9,78.7
768.9290458,177.6,79
769.542487,177.3,79.2
770.1695267,176.9,79.3
770.7828724,176.9,79.6
771.3784984,176.6,79.6
772.0068055,176.6,79.8
772.6038744,176.3,80.1
773.2304583,176,80.3
773.8289862,176,80.4
774.4399068,176,80.6
775.0673202,176,80.7
775.663997,175.4,80.9
776.2735999,175.7,81
776.885923,175.4,81.4
777.4829305,175.4,81.5
778.0819786,175.4,81.7
778.6783718,175.1,81.7
779.2573237,175.1,82
779.8697579,174.7,82.1
780.4971735,174.7,82.3
781.0925603,174.7,82.4
781.6904978,174.7,82.6
782.3195189,174.4,82.7
782.9341553,174.4,82.9
783.5284451,174.4,83
784.1701987,174.7,82.9
784.7656682,174.7,82.7
785.3928885,174.7,82.4
786.0198124,175.1,82.1
786.6188869,175.1,81.8
787.214289,175.1,81.5
787.8105541,175.1,81
788.4397203,175.4,80.9
789.0522458,175.4,80.6
789.6635052,175.4,80.4
790.2411958,175.7,80.1
790.8695934,175.7,80.1
791.4784607,176,80
792.0916263,176,80
792.7046665,176.3,80
793.3312844,176.3,80
793.9602487,176.3,80
794.5716199,176.6,80.1
795.1841457,176.9,80.3
795.7787824,176.9,80.3
796.386503,177.3,80.4
797.0000263,177.3,80.6
797.6246681,177.6,80.7
798.2190185,177.9,80.9
798.8171957,178.2,81
799.428463,178.5,81.2
800.0248299,178.5,81.5
800.6699069,178.9,81.7
801.2789899,179.2,81.8
801.8905475,179.2,82.1
802.5025993,179.5,82.3
803.0702135,179.5,82.4
803.6955725,179.9,82.6
804.2912622,179.9,82.9
804.8894904,179.9,83
805.4998017,180.2,83.2
806.0949316,180.2,83.4
806.6900826,180.2,83.5
807.2865987,180.5,83.5
807.9013616,180.5,83.4
808.5289508,180.9,83.2
809.1526345,180.9,82.9
809.7628559,180.9,82.6
810.3735367,180.9,82.1
810.968903,181.2,81.8
811.5509277,181.2,81.5
812.1491616,181.2,81.2
812.7450935,181.6,81
813.3418873,181.9,80.7
813.9376551,182.3,80.6
814.5318685,182.3,80.4
815.1279583,182.6,80.4
815.7222468,183,80.3
816.318709,183,80.1
816.9180082,183.3,80.1
817.5154845,183.3,80.1
818.1134702,183.3,80
818.7100419,183.7,80
819.3364579,184,80
819.9361874,184.4,80
820.5489699,184.7,80
821.1473809,185.1,80
821.7755797,185.1,79.8
822.3707813,185.8,79.8
822.9662357,185.8,79.8
823.5661572,186.6,79.8
824.1625563,186.6,79.8
824.7584746,187,79.6
825.3536576,187,79.6
825.9511714,187.3,79.6
826.5632345,187.7,79.6
827.1913681,188.1,79.6
827.7921722,188.5,79.6
828.3895864,188.5,79.5
828.989269,188.9,79.6
829.585475,188.9,79.5
830.1815644,188.9,79.5
830.7807341,189.3,79.5
831.375615,189.3,79.5
831.9725908,189.7,79.3
832.570553,189.7,79.3
833.199015,189.7,79.3
833.7935422,189.7,79.3
834.3914006,189.7,79.3
834.990036,189.7,79.2
835.5819451,189.7,79.2
836.1813607,190.1,79.2
836.7822469,190.1,79.2
837.3786382,190.1,79.2
837.9706348,190.1,79.2
838.5672636,190.1,79
839.1829887,190.1,79.2
839.7791693,190.1,79
840.376572,190.1,79
840.9743571,190.1,79
841.5701798,189.7,79
842.1684315,189.7,78.9
842.7607042,189.7,78.9
843.3562517,189.7,78.9
843.9513701,189.3,78.7
844.5480452,189.3,78.9
845.1436002,188.9,78.7
845.7396051,188.9,78.7
846.3354382,188.9,78.7
846.9300272,188.9,78.7
847.558644,188.9,78.7
848.156934,188.1,78.5
848.7538489,188.1,78.5
849.351153,187.7,78.4
849.965099,187.7,78.4
850.5598467,187.3,78.4
851.1551567,187.3,78.2
851.749021,187,78.2
852.3439831,187,78.1
852.9365071,187,78.1
853.5335559,187,78.1
854.1305986,186.6,77.9
854.7301909,186.6,77.9
855.3584079,186.6,77.9
