Time_s,Temperature1_C,Temperature2_C
184.8326096,183,88.2
185.4157835,182.6,88
186.0099278,182.3,88.3
186.5724667,181.9,88.3
187.1435686,181.9,88.4
187.726102,181.6,88.4
188.3137705,181.2,88.4
188.9111052,180.9,88.6
189.4765103,180.5,88.7
190.0709812,180.5,88.7
190.6720586,180.2,88.9
191.2691644,179.9,88.9
191.8301863,179.5,88.9
192.4067828,179.5,89
192.9710805,179.2,89.2
193.6004697,178.9,89.3
194.1882081,178.5,89.3
194.7582779,178.2,89.5
195.3555538,178.2,89.5
195.9374369,177.6,89.6
196.5271933,177.3,89.6
197.0968911,177.3,89.8
197.6916435,176.9,89.9
198.2593407,176.6,89.9
198.8550413,176.3,90.1
199.4515854,176.3,90.2
200.0652292,175.7,90.4
200.6332752,175.7,90.4
201.23947,175.7,90.5
201.8531134,175.4,90.5
202.446388,175.4,90.6
203.0461665,175.1,90.8
203.6600673,174.7,90.9
204.2271566,174.7,91.1
204.8099843,174.4,91.2
205.384146,174.4,91.2
205.9383579,174.4,91.4
206.5540847,174.1,91.5
207.1606399,174.1,91.8
207.7648995,173.8,91.8
208.3225672,173.5,92
208.9304371,173.5,92.1
209.5446966,173.2,92.3
210.1587062,172.9,92.4
210.7510782,172.6,92.5
211.3138588,172.6,92.7
211.894348,172.6,92.8
212.466141,172.3,93
213.0485875,172.3,93.1
213.6070156,172,93.3
214.2361512,172,93.4
214.80306,172,93.6
215.4067359,172,93.6
215.9954173,172,93.8
216.5744557,172,94
217.1938544,172,94.1
217.7918077,172,94.3
218.3599805,172,94.3
218.9297836,172.3,94.6
219.520537,172.3,94.6
220.1196355,172.3,94.9
220.7088013,172.6,95
221.3202302,172.6,95
221.947511,172.6,95.3
222.516683,172.9,95.3
223.1199305,172.9,95.4
223.7190817,173.2,95.6
224.2913243,173.2,95.7
224.9073299,173.2,95.9
225.5015393,173.5,95.9
226.1010972,173.5,96
226.6713563,173.5,96.2
227.2852547,173.8,96.2
227.9011314,174.1,96.3
228.5141934,174.1,96.3
229.1141064,174.4,96.4
229.7086485,174.7,96.4
230.3079721,175.1,96.6
230.9083848,175.7,96.6
231.5034275,175.7,96.6
232.0987128,176,96.6
232.6969983,176.6,96.7
233.2973949,176.9,96.7
233.8937887,177.3,96.7
234.4893549,177.6,96.7
235.0889916,177.9,96.7
235.6875896,178.2,96.7
236.261487,178.5,96.7
236.8715977,178.9,96.7
237.4679826,179.2,96.7
238.0391426,179.5,96.6
238.6200241,180.2,96.4
239.1994353,180.5,96.6
239.8033143,180.9,96.6
240.3835383,181.2,96.4
240.9797851,181.9,96.4
241.5880606,182.3,96.3
242.1582854,182.6,96.3
242.7517584,183,96.3
243.3271904,183.7,96.3
243.9267983,183.7,96.2
244.5261217,184,96.2
245.1129245,184.7,96
245.7317186,185.1,95.9
246.3450897,185.1,95.9
246.9239402,185.8,95.9
247.5058098,186.2,95.7
248.0988605,186.6,95.7
248.6775238,187.3,95.6
249.2927463,187.7,95.6
249.8910175,188.1,95.4
250.4759746,188.5,95.4
251.0754953,188.9,95.3
251.6750152,189.3,95.3
252.2734522,189.7,95.3
252.8727776,190.1,95.1
253.4616772,190.5,95.1
254.0593128,190.9,95
254.6578521,190.9,95
255.2554324,191.3,94.9
255.8837006,191.7,94.9
256.5111511,191.7,94.7
257.1081504,192.1,94.7
257.7060579,192.5,94.7
258.3025919,192.9,94.7
258.8980581,192.5,94.6
259.4963288,192.5,94.6
260.0947582,192.9,94.4
260.6915902,192.9,94.4
261.2842572,192.9,94.4
261.883855,192.9,94.3
262.4814536,192.9,94.3
263.0786411,192.9,94.3
263.6756587,192.9,94.1
264.2908533,192.9,94.1
264.8867296,192.9,94
265.4861823,192.9,94
266.0828328,192.5,93.8
266.6788534,192.5,93.8
267.2784019,192.5,93.7
267.8748517,192.5,93.7
268.4730402,192.1,93.7
269.0694936,192.1,93.6
269.6642131,191.7,93.6
270.2626568,191.7,93.4
270.8751359,191.7,93.4
271.4718666,191.3,93.3
272.070832,191.3,93.1
272.6659559,191.3,93
273.2631672,191.3,92.8
273.8597432,190.9,92.7
274.4571023,190.9,92.5
275.0536986,190.5,92.4
275.6486562,190.5,92.1
276.2476797,190.1,92.1
276.8427213,190.1,91.8
277.4415321,189.7,91.7
278.0379299,189.7,91.5
278.6337604,189.7,91.4
279.2298333,189.3,91.2
279.8423376,188.9,91.1
280.4608225,188.9,90.9
281.0597925,188.5,90.8
281.663573,188.1,90.8
282.2327235,187.7,90.6
282.8385507,187.3,90.5
283.416363,187.3,90.5
283.9856038,186.6,90.4
284.5838264,186.2,90.4
285.1607784,185.8,90.2
285.7564624,185.5,90.1
286.3795597,185.1,90.1
286.9516774,184.7,89.9
287.5640985,184.4,89.9
288.1918976,183.7,89.8
288.7690836,183.3,89.9
289.3263084,183,89.9
289.8912628,183,89.8
290.4681331,182.6,89.8
291.0671142,182.3,89.8
291.6433734,181.9,89.8
292.2327246,181.6,89.6
292.8326255,181.6,89.9
293.421166,180.9,89.9
294.0167613,180.9,89.9
294.6145713,180.5,89.9
295.2098319,180.2,90.1
295.8066421,179.9,90.1
296.3742205,179.9,90.2
296.9933421,179.5,90.2
297.5999048,179.2,90.2
298.1971965,178.9,90.4
298.7595096,178.9,90.4
299.3814035,178.5,90.2
299.9603478,178.2,90.5
300.5464767,178.2,90.6
301.1361978,178.2,90.8
301.7850298,177.9,90.8
302.3837048,177.6,90.8
302.9797973,177.6,90.8
303.545702,177.6,91.1
304.1581675,177.3,91.1
304.780112,177.3,91.2
305.3896815,176.9,91.2
305.981592,176.6,91.4
306.5679401,176.6,91.4
307.1548381,176.3,91.5
307.724106,176.3,91.5
308.329484,176,91.7
308.9294435,175.7,91.7
309.4911715,175.7,91.8
310.0815736,175.4,91.8
310.667642,175.4,92
311.2631328,175.1,92
311.8731908,175.1,92
312.5153159,175.1,92.1
313.0721386,175.1,92.1
313.6541104,175.1,92.1
314.2189979,174.7,92.3
314.8109382,174.7,92.4
315.4118591,174.7,92.4
315.9821466,175.1,92.5
316.5536923,175.1,92.7
317.1702934,175.1,92.7
317.7434685,175.1,92.7
318.3244633,175.1,92.8
318.9025561,175.1,93
319.4631622,174.7,93.1
320.047049,175.1,93.3
320.6179079,175.1,93.3
321.1884823,175.1,93.4
321.779502,175.1,93.6
322.3433507,175.1,93.7
322.9210378,175.4,93.8
323.4987042,175.1,94
324.074207,175.4,94.1
324.6574822,175.4,94.3
325.2151489,175.7,94.4
325.7851535,175.7,94.6
326.3844877,176,94.6
326.9742314,176,94.7
327.5468744,176.3,95
328.1186942,176.3,95.1
