93.8,92.42
94,92.45
94.1,92.5
94.2,92.52
94.3,92.46
94.4,92.4
94.5,92.43
94.6,92.45
94.7,92.44
94.8,92.44
94.9,92.42
95,92.43
95.1,92.48
95.2,92.52
95.3,92.51
95.4,92.48
95.5,92.44
95.6,92.45
95.7,92.46
95.9,92.45
96,92.46
96.1,92.44
96.2,92.43
96.3,92.45
96.4,92.44
96.5,92.43
96.6,92.45
96.7,92.45
96.8,92.44
96.9,92.49
97,92.55
97.1,92.56
97.2,92.54
97.3,92.51
97.4,92.51
97.5,92.56
97.6,92.55
97.8,92.53
97.9,92.55
98,92.55
98.1,92.51
98.2,92.49
98.3,92.51
98.4,92.53
98.5,92.53
98.6,92.52
98.7,92.48
98.8,92.43
98.9,92.47
99,92.51
99.1,92.51
99.2,92.49
99.3,92.46
99.4,92.47
99.5,92.5
99.6,92.48
99.8,92.43
99.9,92.42
100,92.47
100.1,92.51
100.2,92.46
100.3,92.43
100.4,92.44
100.5,92.43
100.6,92.46
100.7,92.5
100.8,92.5
100.9,92.5
101,92.5
101.1,92.49
101.2,92.48
101.3,92.44
101.4,92.4
101.6,92.39
101.7,92.42
101.8,92.45
101.9,92.46
102,92.46
102.1,92.45
102.2,92.46
102.3,92.49
102.4,92.5
102.5,92.53
102.6,92.56
102.7,92.53
102.8,92.49
102.9,92.51
103,92.53
103.1,92.49
103.2,92.43
103.3,92.42
103.4,92.45
103.6,92.46
103.7,92.45
103.8,92.46
103.9,92.46
104,92.43
104.1,92.44
104.2,92.43
104.3,92.42
104.4,92.42
104.5,92.42
104.6,92.43
104.7,92.44
104.8,92.45
104.9,92.43
105,92.43
105.1,92.46
105.2,92.45
105.3,92.44
105.5,92.46
105.6,92.48
105.7,92.47
105.8,92.44
105.9,92.43
106,92.46
106.1,92.46
106.2,92.47
106.3,92.48
106.4,92.47
106.5,92.48
106.6,92.49
106.7,92.48
106.8,92.47
106.9,92.48
107,92.47
107.1,91.81
107.2,78.35
107.4,44.93
107.5,14.28
107.6,2.5
107.7,0.55
107.8,0.29
107.9,0.19
108,0.16
108.1,0.15
108.2,0.15
108.3,0.14
108.4,0.12
108.5,0.08
108.6,0.08
108.7,0.1
108.8,0.09
108.9,0.08
109,0.08
109.1,0.08
109.3,0.08
109.4,0.09
109.5,0.09
109.6,0.06
109.7,0.03
109.8,0.03
109.9,0.05
110,0.05
110.1,0.06
110.2,0.07
110.3,0.08
110.4,0.08
110.5,0.07
110.6,0.06
110.7,0.05
110.8,0.04
110.9,0.06
111,0.09
111.2,0.07
111.3,0.01
111.4,0.02
111.5,0.05
111.6,0.05
111.7,0.06
111.8,0.08
111.9,0.07
112,0.08
112.1,0.09
112.2,0.06
112.3,0.03
112.4,0.06
112.5,0.11
112.6,0.09
112.7,0.06
112.8,0.04
112.9,0.03
113.1,0.06
113.2,0.09
113.3,0.09
113.4,0.07
113.5,0.05
113.6,0.03
113.7,0.05
113.8,0.06
113.9,0.05
